Task/Step,Start Date,End Date,Status,Duration,Average Time
Reconciliation for IBM PVU,4/6/2019 8:59:51 pm,4/6/2019 8:59:52 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 8:29:53 pm,4/6/2019 8:29:54 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 7:59:50 pm,4/6/2019 7:59:51 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 7:29:48 pm,4/6/2019 7:29:49 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 6:59:51 pm,4/6/2019 6:59:52 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 6:29:48 pm,4/6/2019 6:29:49 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 5:59:45 pm,4/6/2019 5:59:46 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 5:29:42 pm,4/6/2019 5:29:44 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/6/2019 4:59:45 pm,4/6/2019 4:59:46 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 4:29:42 pm,4/6/2019 4:29:43 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 3:59:39 pm,4/6/2019 3:59:40 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 3:29:41 pm,4/6/2019 3:29:42 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 2:59:38 pm,4/6/2019 2:59:39 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 2:29:36 pm,4/6/2019 2:29:37 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 1:59:38 pm,4/6/2019 1:59:39 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 1:29:35 pm,4/6/2019 1:29:36 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 12:59:32 pm,4/6/2019 12:59:33 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 12:29:34 pm,4/6/2019 12:29:36 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/6/2019 11:59:32 am,4/6/2019 11:59:33 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 11:29:29 am,4/6/2019 11:29:30 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 10:59:31 am,4/6/2019 10:59:32 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 10:29:29 am,4/6/2019 10:29:30 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 9:59:26 am,4/6/2019 9:59:27 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 9:29:28 am,4/6/2019 9:29:29 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 8:59:25 am,4/6/2019 8:59:26 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 8:29:23 am,4/6/2019 8:29:24 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 7:59:25 am,4/6/2019 7:59:26 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 7:29:22 am,4/6/2019 7:29:24 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/6/2019 6:59:19 am,4/6/2019 6:59:22 am,Completed,0:00:03,
Reconciliation for IBM PVU,4/6/2019 6:29:44 am,4/6/2019 6:30:07 am,Completed,0:00:23,
Reconciliation for IBM PVU,4/6/2019 5:59:22 am,4/6/2019 6:00:03 am,Completed,0:00:41,
Reconciliation for IBM PVU,4/6/2019 5:29:09 am,4/6/2019 5:29:56 am,Completed,0:00:47,
Reconciliation for IBM PVU,4/6/2019 4:58:52 am,4/6/2019 4:59:29 am,Completed,0:00:37,
Reconciliation for IBM PVU,4/6/2019 4:28:03 am,4/6/2019 4:28:04 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 3:58:01 am,4/6/2019 3:58:02 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 3:28:03 am,4/6/2019 3:28:04 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 2:58:00 am,4/6/2019 2:58:01 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 2:27:57 am,4/6/2019 2:27:59 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/6/2019 1:57:54 am,4/6/2019 1:57:56 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/6/2019 1:27:58 am,4/6/2019 1:28:00 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/6/2019 12:58:27 am,4/6/2019 12:59:14 am,Completed,0:00:47,
Reconciliation for IBM PVU,4/6/2019 12:27:42 am,4/6/2019 12:27:43 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 11:57:38 pm,4/5/2019 11:57:39 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 11:27:40 pm,4/5/2019 11:27:41 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 10:57:37 pm,4/5/2019 10:57:38 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 10:27:35 pm,4/5/2019 10:27:36 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 9:57:37 pm,4/5/2019 9:57:38 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 9:27:34 pm,4/5/2019 9:27:36 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/5/2019 8:57:32 pm,4/5/2019 8:57:33 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 8:27:34 pm,4/5/2019 8:27:35 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 7:57:31 pm,4/5/2019 7:57:32 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/5/2019 7:27:28 pm,4/5/2019 7:27:29 pm,Completed,0:00:01,
