"Task/Step","Task type","Start date","End date","Status","Summary","Logs"
"Performing discovery","Discovery and inventory rule","4/7/2019 11:04:27 pm","4/7/2019 11:04:27 pm","Completed","Total discovered devices: 0
Oracle database servers discovered: -
Oracle virtual servers discovered: -
VMware virtual servers discovered: 0
Microsoft Hyper-V servers discovered: -
Microsoft SQL servers discovered: -
XenDesktop devices discovered: -","Yes"
"Gathering VMware inventory","Discovery and inventory rule","4/7/2019 11:04:29 pm","4/7/2019 11:04:29 pm","Completed","Devices discovered: 72
Devices skipped: 72
Devices inventoried: 0
Devices failed to be inventoried: 0","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 11:02:18 pm","4/7/2019 11:02:19 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 11:02:18 pm","4/7/2019 11:02:19 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 11:02:10 pm","4/7/2019 11:02:17 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 11:02:16 pm","4/7/2019 11:02:17 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 10:32:15 pm","4/7/2019 10:32:16 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 10:32:15 pm","4/7/2019 10:32:16 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 10:32:07 pm","4/7/2019 10:32:15 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 10:32:13 pm","4/7/2019 10:32:14 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 10:02:17 pm","4/7/2019 10:02:18 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 10:02:17 pm","4/7/2019 10:02:18 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 10:02:10 pm","4/7/2019 10:02:17 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 10:02:16 pm","4/7/2019 10:02:17 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 9:32:14 pm","4/7/2019 9:32:15 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 9:32:14 pm","4/7/2019 9:32:15 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 9:32:07 pm","4/7/2019 9:32:14 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 9:32:13 pm","4/7/2019 9:32:14 pm","Completed","Import completed","Yes"
