"Task/Step","Task type","Start date","End date","Status","Summary","Logs"
"Uploading to Application Server","Business import","4/5/2019 2:39:22 pm","4/5/2019 2:39:25 pm","Completed","Uploaded B[S=Combined_SCCM_SN_Tanium_Test_Import]_20190405143921.zip successfully","No"
"Importing into application server","Business import","4/5/2019 2:39:30 pm","4/5/2019 2:44:08 pm","Completed","Location - Matched = 16872, Created = 0, Updated = 0, Rejected = 0
Asset - Matched = 209351, Created = 0, Updated = 209185, Rejected = 3
Asset/Computer - Matched = 0, Created = 0, Updated = 0, Rejected = 0","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 2:27:15 pm","4/5/2019 2:27:17 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 2:27:16 pm","4/5/2019 2:27:17 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 2:27:08 pm","4/5/2019 2:27:15 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 2:27:14 pm","4/5/2019 2:27:15 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 1:57:12 pm","4/5/2019 1:57:13 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 1:57:12 pm","4/5/2019 1:57:13 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 1:57:05 pm","4/5/2019 1:57:12 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 1:57:11 pm","4/5/2019 1:57:12 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 1:27:15 pm","4/5/2019 1:27:16 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 1:27:15 pm","4/5/2019 1:27:16 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 1:27:07 pm","4/5/2019 1:27:14 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 1:27:13 pm","4/5/2019 1:27:14 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 12:57:12 pm","4/5/2019 12:57:13 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 12:57:12 pm","4/5/2019 12:57:13 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 12:57:04 pm","4/5/2019 12:57:11 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 12:57:10 pm","4/5/2019 12:57:11 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 12:27:09 pm","4/5/2019 12:27:10 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 12:27:09 pm","4/5/2019 12:27:10 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 12:27:02 pm","4/5/2019 12:27:09 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 12:27:08 pm","4/5/2019 12:27:09 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 11:57:11 am","4/5/2019 11:57:12 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 11:57:11 am","4/5/2019 11:57:12 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 11:57:04 am","4/5/2019 11:57:11 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 11:57:10 am","4/5/2019 11:57:11 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 11:27:08 am","4/5/2019 11:27:10 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 11:27:09 am","4/5/2019 11:27:10 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 11:27:01 am","4/5/2019 11:27:08 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 11:27:07 am","4/5/2019 11:27:08 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 10:57:06 am","4/5/2019 10:57:07 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 10:57:06 am","4/5/2019 10:57:07 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 10:56:59 am","4/5/2019 10:57:06 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 10:57:05 am","4/5/2019 10:57:05 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 10:27:08 am","4/5/2019 10:27:09 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 10:27:08 am","4/5/2019 10:27:09 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 10:27:01 am","4/5/2019 10:27:08 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 10:27:07 am","4/5/2019 10:27:08 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 9:57:06 am","4/5/2019 9:57:07 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 9:57:06 am","4/5/2019 9:57:07 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 9:56:58 am","4/5/2019 9:57:06 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 9:57:04 am","4/5/2019 9:57:05 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 9:27:06 am","4/5/2019 9:27:07 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 9:27:06 am","4/5/2019 9:27:07 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 9:26:59 am","4/5/2019 9:27:06 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 9:27:04 am","4/5/2019 9:27:05 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 8:57:03 am","4/5/2019 8:57:04 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 8:57:03 am","4/5/2019 8:57:04 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 8:56:56 am","4/5/2019 8:57:03 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 8:57:02 am","4/5/2019 8:57:03 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 8:27:01 am","4/5/2019 8:27:02 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 8:27:01 am","4/5/2019 8:27:02 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 8:26:53 am","4/5/2019 8:27:01 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 8:27:00 am","4/5/2019 8:27:01 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 7:56:58 am","4/5/2019 7:56:59 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 7:56:58 am","4/5/2019 7:56:59 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 7:56:50 am","4/5/2019 7:56:57 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 7:56:56 am","4/5/2019 7:56:57 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 7:27:00 am","4/5/2019 7:27:01 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 7:27:00 am","4/5/2019 7:27:01 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 7:26:52 am","4/5/2019 7:27:00 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 7:26:59 am","4/5/2019 7:27:00 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 6:56:56 am","4/5/2019 6:56:57 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 6:56:56 am","4/5/2019 6:56:57 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 6:56:48 am","4/5/2019 6:56:56 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 6:56:55 am","4/5/2019 6:56:56 am","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","4/5/2019 6:34:01 am","4/5/2019 6:34:10 am","Completed","Partial export completed with no changes","No"
"Exporting","Data warehouse export","4/5/2019 6:34:08 am","4/5/2019 6:34:10 am","Completed","Partial export completed with no changes","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 6:26:54 am","4/5/2019 6:26:55 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 6:26:54 am","4/5/2019 6:26:55 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 6:26:46 am","4/5/2019 6:26:53 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 6:26:52 am","4/5/2019 6:26:53 am","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","4/5/2019 6:25:01 am","4/5/2019 6:26:11 am","Completed","Export completed successfully","No"
"Exporting","Data warehouse export","4/5/2019 6:25:09 am","4/5/2019 6:26:11 am","Completed","Export completed successfully","Yes"
"FNMPDataWarehouse","Data warehouse export","4/5/2019 6:19:00 am","4/5/2019 6:20:24 am","Completed","Partial export of applications, licenses, installations, discovery, inventory summary completed successfully","No"
"Exporting","Data warehouse export","4/5/2019 6:19:06 am","4/5/2019 6:20:24 am","Completed","Partial export of applications, licenses, installations, discovery, inventory summary completed successfully","Yes"
"FNMPDataWarehouse","Data warehouse export","4/5/2019 6:03:58 am","4/5/2019 6:05:05 am","Completed","Partial export of applications, licenses, installations summary completed successfully","No"
"Exporting","Data warehouse export","4/5/2019 6:04:04 am","4/5/2019 6:05:05 am","Completed","Partial export of applications, licenses, installations summary completed successfully","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 5:57:20 am","4/5/2019 5:57:40 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 5:57:20 am","4/5/2019 5:57:40 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 5:56:44 am","4/5/2019 5:57:17 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 5:56:59 am","4/5/2019 5:57:08 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 5:27:14 am","4/5/2019 5:28:10 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 5:27:21 am","4/5/2019 5:28:07 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 5:26:26 am","4/5/2019 5:27:10 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 5:26:42 am","4/5/2019 5:27:00 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 4:56:42 am","4/5/2019 4:57:24 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 4:56:42 am","4/5/2019 4:57:23 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 4:56:08 am","4/5/2019 4:56:37 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 4:56:22 am","4/5/2019 4:56:31 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 4:26:35 am","4/5/2019 4:27:31 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 4:26:41 am","4/5/2019 4:27:27 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 4:25:49 am","4/5/2019 4:26:31 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 4:26:06 am","4/5/2019 4:26:22 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 3:56:17 am","4/5/2019 3:57:17 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 3:56:23 am","4/5/2019 3:57:12 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 3:55:30 am","4/5/2019 3:56:12 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 3:55:47 am","4/5/2019 3:56:03 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 3:25:27 am","4/5/2019 3:25:28 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 3:25:27 am","4/5/2019 3:25:28 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 3:25:19 am","4/5/2019 3:25:27 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 3:25:25 am","4/5/2019 3:25:26 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 2:55:24 am","4/5/2019 2:55:26 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 2:55:25 am","4/5/2019 2:55:26 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 2:55:17 am","4/5/2019 2:55:24 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 2:55:23 am","4/5/2019 2:55:24 am","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","4/5/2019 2:25:24 am","4/5/2019 2:26:28 am","Completed","Partial export of applications, licenses, installations, discovery, inventory summary completed successfully","No"
"Exporting","Data warehouse export","4/5/2019 2:25:30 am","4/5/2019 2:26:28 am","Completed","Partial export of applications, licenses, installations, discovery, inventory summary completed successfully","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 2:25:21 am","4/5/2019 2:25:23 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 2:25:21 am","4/5/2019 2:25:23 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 2:25:14 am","4/5/2019 2:25:21 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 2:25:20 am","4/5/2019 2:25:21 am","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","4/5/2019 2:10:23 am","4/5/2019 2:13:56 am","Completed","Partial export of applications, licenses, installations, assets, discovery, inventory summary completed successfully","No"
"Exporting","Data warehouse export","4/5/2019 2:10:30 am","4/5/2019 2:13:56 am","Completed","Partial export of applications, licenses, installations, assets, discovery, inventory summary completed successfully","Yes"
"Reconciliation","Reconciliation","4/5/2019 2:05:20 am","4/5/2019 6:24:46 am","Completed","License reconcile completed","No"
"Import inventory devices","Reconciliation","4/5/2019 2:05:20 am","4/5/2019 6:21:15 am","Completed","Inventory device import completed for the following sources:
FlexNet Manager Suite","Yes"
"Reconcile licenses","Reconciliation","4/5/2019 6:21:16 am","4/5/2019 6:24:46 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","Inventory import","4/5/2019 2:00:06 am","4/5/2019 6:24:46 am","Completed","License reconcile completed","No"
"Import into staging","Inventory import","4/5/2019 2:00:13 am","4/5/2019 2:05:20 am","Completed","Devices read from source: 5621","Yes"
"Import inventory devices","Inventory import","4/5/2019 2:05:20 am","4/5/2019 6:21:15 am","Completed","Devices read from source: 5621
Imported: 5603
Black listed: 0
Merged with other data sources: 47
Number of devices ignored due to license limit: 0","Yes"
"Reconcile software licenses","Inventory import","4/5/2019 6:21:16 am","4/5/2019 6:24:46 am","Completed","License reconcile completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 1:55:24 am","4/5/2019 1:55:25 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 1:55:24 am","4/5/2019 1:55:25 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 1:55:16 am","4/5/2019 1:55:24 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 1:55:22 am","4/5/2019 1:55:23 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 1:25:20 am","4/5/2019 1:25:21 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 1:25:20 am","4/5/2019 1:25:21 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 1:25:12 am","4/5/2019 1:25:20 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 1:25:19 am","4/5/2019 1:25:19 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 12:55:47 am","4/5/2019 12:56:38 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 12:55:53 am","4/5/2019 12:56:34 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 12:55:06 am","4/5/2019 12:55:42 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 12:55:23 am","4/5/2019 12:55:36 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 12:25:05 am","4/5/2019 12:25:06 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 12:25:05 am","4/5/2019 12:25:06 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 12:24:57 am","4/5/2019 12:25:04 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 12:25:03 am","4/5/2019 12:25:04 am","Completed","Import completed","Yes"
"SCCM1","Inventory import","4/5/2019 12:00:13 am","4/5/2019 1:18:52 am","Completed","Devices read from source to staging: 70000. Inventory data will be updated by the next reconciliation with inventory updates (Import inventory devices task)","No"
"Gathering inventory data","Inventory import","4/5/2019 12:00:15 am","4/5/2019 12:36:49 am","Completed","Inventory data saved as I[S=SCCM1]_20190405003453.zip
File size: 562.46 MB","Yes"
"Uploading to Application Server","Inventory import","4/5/2019 12:36:50 am","4/5/2019 12:37:33 am","Completed","Uploaded: I[S=SCCM1]_20190405003453.zip successfully
File size: 562.46 MB","No"
"Import into staging","Inventory import","4/5/2019 12:38:52 am","4/5/2019 1:18:52 am","Completed","Devices read from source to staging: 70000. Inventory data will be updated by the next reconciliation with inventory updates (Import inventory devices task)","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/4/2019 11:55:02 pm","4/4/2019 11:55:03 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/4/2019 11:55:02 pm","4/4/2019 11:55:03 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/4/2019 11:54:54 pm","4/4/2019 11:55:02 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/4/2019 11:55:01 pm","4/4/2019 11:55:01 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/4/2019 11:24:59 pm","4/4/2019 11:25:00 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/4/2019 11:24:59 pm","4/4/2019 11:25:00 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/4/2019 11:24:51 pm","4/4/2019 11:24:59 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/4/2019 11:24:57 pm","4/4/2019 11:24:58 pm","Completed","Import completed","Yes"
"VMWare Introspection","Discovery and inventory rule","4/4/2019 11:04:26 pm","4/4/2019 11:04:28 pm","In progress","Beacon(s) with schedule pending: 1
Total beacon(s) reported: 1
  Beacon(s) in progress: 0
  Beacon(s) completed: 1
  Beacon(s) completed with error: 0
  Beacon(s) timed out: 0","No"
"vwn04584 - Parent Beacon","Discovery and inventory rule","","","Scheduled","","No"
"uwn2008 - Child Beacon","Discovery and inventory rule","4/4/2019 11:04:26 pm","4/4/2019 11:04:28 pm","Completed","","No"
"Performing discovery","Discovery and inventory rule","4/4/2019 11:04:26 pm","4/4/2019 11:04:26 pm","Completed","Total discovered devices: 0
Oracle database servers discovered: -
Oracle virtual servers discovered: -
VMware virtual servers discovered: 0
Microsoft Hyper-V servers discovered: -
Microsoft SQL servers discovered: -
XenDesktop devices discovered: -","Yes"
"Gathering VMware inventory","Discovery and inventory rule","4/4/2019 11:04:28 pm","4/4/2019 11:04:28 pm","Completed","Devices discovered: 72
Devices skipped: 72
Devices inventoried: 0
Devices failed to be inventoried: 0","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/4/2019 10:55:01 pm","4/4/2019 10:55:02 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/4/2019 10:55:01 pm","4/4/2019 10:55:02 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/4/2019 10:54:53 pm","4/4/2019 10:55:01 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/4/2019 10:54:59 pm","4/4/2019 10:55:00 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/4/2019 10:24:58 pm","4/4/2019 10:25:00 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/4/2019 10:24:58 pm","4/4/2019 10:25:00 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/4/2019 10:24:50 pm","4/4/2019 10:24:58 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/4/2019 10:24:57 pm","4/4/2019 10:24:58 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/4/2019 9:54:56 pm","4/4/2019 9:54:57 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/4/2019 9:54:56 pm","4/4/2019 9:54:57 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/4/2019 9:54:47 pm","4/4/2019 9:54:55 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/4/2019 9:54:54 pm","4/4/2019 9:54:55 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/4/2019 9:24:56 pm","4/4/2019 9:24:57 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/4/2019 9:24:56 pm","4/4/2019 9:24:57 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/4/2019 9:24:48 pm","4/4/2019 9:24:56 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/4/2019 9:24:55 pm","4/4/2019 9:24:55 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/4/2019 8:54:53 pm","4/4/2019 8:54:54 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/4/2019 8:54:53 pm","4/4/2019 8:54:54 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/4/2019 8:54:46 pm","4/4/2019 8:54:53 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/4/2019 8:54:52 pm","4/4/2019 8:54:53 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/4/2019 8:24:50 pm","4/4/2019 8:24:51 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/4/2019 8:24:50 pm","4/4/2019 8:24:51 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/4/2019 8:24:43 pm","4/4/2019 8:24:50 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/4/2019 8:24:49 pm","4/4/2019 8:24:50 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/4/2019 7:54:53 pm","4/4/2019 7:54:54 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/4/2019 7:54:53 pm","4/4/2019 7:54:54 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/4/2019 7:54:45 pm","4/4/2019 7:54:52 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/4/2019 7:54:51 pm","4/4/2019 7:54:52 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/4/2019 7:24:50 pm","4/4/2019 7:24:51 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/4/2019 7:24:50 pm","4/4/2019 7:24:51 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/4/2019 7:24:42 pm","4/4/2019 7:24:50 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/4/2019 7:24:48 pm","4/4/2019 7:24:49 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/4/2019 6:54:47 pm","4/4/2019 6:54:48 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/4/2019 6:54:47 pm","4/4/2019 6:54:48 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/4/2019 6:54:40 pm","4/4/2019 6:54:47 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/4/2019 6:54:46 pm","4/4/2019 6:54:47 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/4/2019 6:24:44 pm","4/4/2019 6:24:46 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/4/2019 6:24:45 pm","4/4/2019 6:24:46 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/4/2019 6:24:37 pm","4/4/2019 6:24:44 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/4/2019 6:24:43 pm","4/4/2019 6:24:44 pm","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","4/4/2019 6:20:52 pm","4/4/2019 6:21:56 pm","Completed","Partial export of applications, licenses, installations, assets, discovery, inventory summary completed successfully","No"
"Exporting","Data warehouse export","4/4/2019 6:20:58 pm","4/4/2019 6:21:56 pm","Completed","Partial export of applications, licenses, installations, assets, discovery, inventory summary completed successfully","Yes"
"FNMPDataWarehouse","Data warehouse export","4/4/2019 6:05:50 pm","4/4/2019 6:05:58 pm","Completed","Partial export completed with no changes","No"
"Exporting","Data warehouse export","4/4/2019 6:05:57 pm","4/4/2019 6:05:58 pm","Completed","Partial export completed with no changes","Yes"
"Combined_SCCM_SN_Tanium_Test_Import","Business import","4/4/2019 6:05:45 pm","4/4/2019 6:08:13 pm","Completed","Location - Matched = 8791, Created = 0, Updated = 0, Rejected = 0
Asset - Matched = 209352, Created = 0, Updated = 209186, Rejected = 3
Asset/Computer - Matched = 0, Created = 0, Updated = 0, Rejected = 0","No"
"Gathering business data","Business import","4/4/2019 6:05:34 pm","4/4/2019 6:05:36 pm","Completed","Business data saved as E:\ProgramData\Flexera Software\Beacon\IntermediateData\B[S=Combined_SCCM_SN_Tanium_Test_Import]_20190404180535.zip
File size: 2.84 MB","Yes"
"Uploading to Application Server","Business import","4/4/2019 6:05:37 pm","4/4/2019 6:05:40 pm","Completed","Uploaded B[S=Combined_SCCM_SN_Tanium_Test_Import]_20190404180535.zip successfully","No"
"Importing into application server","Business import","4/4/2019 6:05:45 pm","4/4/2019 6:08:13 pm","Completed","Location - Matched = 8791, Created = 0, Updated = 0, Rejected = 0
Asset - Matched = 209352, Created = 0, Updated = 209186, Rejected = 3
Asset/Computer - Matched = 0, Created = 0, Updated = 0, Rejected = 0","Yes"
